Exchange,Product,Name,CurrentMonth,ChangeToMonth,Symbol,Id
CFFEX,IC,IC,202209,,CFFEX.IC,CFFEX.IC202209
CFFEX,IF,IF,202209,,CFFEX.IF,CFFEX.IF202209
CFFEX,IH,ÉÏÖ¤50,202209,,CFFEX.IH,CFFEX.IH202209
CFFEX,IM,IM,202209,,CFFEX.IM,CFFEX.IM202209
CFFEX,T,T,202212,,CFFEX.T,CFFEX.T202212
CFFEX,TF,TF,202212,,CFFEX.TF,CFFEX.TF202212
CFFEX,TS,TS,202212,,CFFEX.TS,CFFEX.TS202212
CZCE,AP,Æ»¹û,202301,,CZCE.AP,CZCE.AP202301
CZCE,CF,Ö£ÃÞ,202301,,CZCE.CF,CZCE.CF202301
CZCE,CJ,ºìÔæ,202301,,CZCE.CJ,CZCE.CJ202301
CZCE,CY,CY,202301,,CZCE.CY,CZCE.CY202301
CZCE,FG,²£Á§,202301,,CZCE.FG,CZCE.FG202301
CZCE,JR,¾¬µ¾,202301,,CZCE.JR,CZCE.JR202301
CZCE,LR,ÍíôÌµ¾,202209,,CZCE.LR,CZCE.LR202209
CZCE,MA,¼×´¼,202301,,CZCE.MA,CZCE.MA202301
CZCE,OI,²ËÓÍ,202301,,CZCE.OI,CZCE.OI202301
CZCE,PF,PF,202211,,CZCE.PF,CZCE.PF202211
CZCE,PK,PK,202301,,CZCE.PK,CZCE.PK202301
CZCE,PM,ÆÕÂó,202209,,CZCE.PM,CZCE.PM202209
CZCE,RI,ÔçôÌµ¾,202209,,CZCE.RI,CZCE.RI202209
CZCE,RM,²ËÆÉ,202301,,CZCE.RM,CZCE.RM202301
CZCE,RS,²Ë×Ñ,202307,,CZCE.RS,CZCE.RS202307
CZCE,SA,SA,202301,,CZCE.SA,CZCE.SA202301
CZCE,SF,¹èÌú,202211,,CZCE.SF,CZCE.SF202211
CZCE,SM,ÃÌ¹è,202301,,CZCE.SM,CZCE.SM202301
CZCE,SR,°×ÌÇ,202301,,CZCE.SR,CZCE.SR202301
CZCE,TA,PTA,202301,,CZCE.TA,CZCE.TA202301
CZCE,UR,ÄòËØ,202301,,CZCE.UR,CZCE.UR202301
CZCE,WH,Ç¿Âó,202303,,CZCE.WH,CZCE.WH202303
CZCE,ZC,¶¯Á¦Ãº,202301,,CZCE.ZC,CZCE.ZC202301
DCE,a,¶¹Ò»,202211,,DCE.a,DCE.a202211
DCE,b,¶¹¶þ,202210,,DCE.b,DCE.b202210
DCE,bb,½ººÏ°å,202209,,DCE.bb,DCE.bb202209
DCE,c,ÓñÃ×,202301,,DCE.c,DCE.c202301
DCE,cs,ÓñÃ×µí·Û,202211,,DCE.cs,DCE.cs202211
DCE,eb,eb,202210,,DCE.eb,DCE.eb202210
DCE,eg,ÒÒ¶þ´¼,202301,,DCE.eg,DCE.eg202301
DCE,fb,ÏËÎ¬°å,202210,,DCE.fb,DCE.fb202210
DCE,i,Ìú¿óÊ¯,202301,,DCE.i,DCE.i202301
DCE,j,½¹Ì¿,202301,,DCE.j,DCE.j202301
DCE,jd,¼¦µ°,202301,,DCE.jd,DCE.jd202301
DCE,jm,½¹Ãº,202301,,DCE.jm,DCE.jm202301
DCE,l,ËÜÁÏ,202301,,DCE.l,DCE.l202301
DCE,lh,lh,202301,,DCE.lh,DCE.lh202301
DCE,m,¶¹ÆÉ,202301,,DCE.m,DCE.m202301
DCE,p,×Øéµ,202301,,DCE.p,DCE.p202301
DCE,pg,pg,202210,,DCE.pg,DCE.pg202210
DCE,pp,¾Û±ûÏ©,202301,,DCE.pp,DCE.pp202301
DCE,rr,¾¬Ã×,202211,,DCE.rr,DCE.rr202211
DCE,v,PVC,202301,,DCE.v,DCE.v202301
DCE,y,¶¹ÓÍ,202301,,DCE.y,DCE.y202301
INE,bc,bc,202211,,INE.bc,INE.bc202211
INE,lu,lu,202212,,INE.lu,INE.lu202212
INE,nr,20ºÅ½ºÆÚ»õ,202211,,INE.nr,INE.nr202211
INE,sc,ÖÐÖÊº¬ÁòÔ­ÓÍ,202210,,INE.sc,INE.sc202210
INE,scTAS,scTAS,202210,,INE.scTAS,INE.scTAS202210
SHFE,ag,°×Òø,202212,,SHFE.ag,SHFE.ag202212
SHFE,al,»¦ÂÁ,202210,,SHFE.al,SHFE.al202210
SHFE,au,»¦½ð,202212,,SHFE.au,SHFE.au202212
SHFE,bu,Ê¯ÓÍÁ¤Çà,202212,,SHFE.bu,SHFE.bu202212
SHFE,cu,»¦Í­,202210,,SHFE.cu,SHFE.cu202210
SHFE,fu,È¼ÓÍ,202301,,SHFE.fu,SHFE.fu202301
SHFE,hc,ÈÈÔþ¾í°å,202301,,SHFE.hc,SHFE.hc202301
SHFE,ni,»¦Äø,202210,,SHFE.ni,SHFE.ni202210
SHFE,pb,»¦Ç¦,202210,,SHFE.pb,SHFE.pb202210
SHFE,rb,ÂÝÎÆ,202301,,SHFE.rb,SHFE.rb202301
SHFE,ru,Ïð½º,202301,,SHFE.ru,SHFE.ru202301
SHFE,sn,»¦Îý,202210,,SHFE.sn,SHFE.sn202210
SHFE,sp,Ö½½¬,202301,,SHFE.sp,SHFE.sp202301
SHFE,ss,ss,202210,,SHFE.ss,SHFE.ss202210
SHFE,wr,Ïß²Ä,202210,,SHFE.wr,SHFE.wr202210
SHFE,zn,»¦Ð¿,202210,,SHFE.zn,SHFE.zn202210
